Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
3318.510413,-24.8,999.0,-20.2,-21.1
3328.549873,-24.8,999.0,-20.2,-21.1
3338.58584,-24.8,999.0,-20.1,-21.0
3348.586789,-24.8,999.0,-20.1,-21.0
3358.627375,-24.8,999.0,-20.0,-21.0
3368.644926,-24.8,999.0,-20.0,-21.0
3378.677652,-24.7,999.0,-20.0,-20.9
3388.701314,-24.7,999.0,-20.0,-21.0
3398.736142,-24.6,999.0,-19.9,-20.9
3408.756913,-24.6,999.0,-19.9,-20.9
3418.792177,-24.5,999.0,-19.9,-20.9
3428.830436,-24.5,999.0,-19.8,-20.9
3438.844828,-24.5,999.0,-19.8,-20.8
3448.875953,-24.4,999.0,-19.8,-20.7
3458.916699,-24.5,999.0,-19.7,-20.7
3468.950927,-24.4,999.0,-19.7,-20.7
3479.002186,-24.4,999.0,-19.7,-20.7
3489.005883,-24.4,999.0,-19.6,-20.7
3499.041076,-24.3,999.0,-19.6,-20.7
3509.046917,-24.3,999.0,-19.5,-20.6
3519.082069,-24.4,999.0,-19.5,-20.6
3529.101412,-24.3,999.0,-19.4,-20.6
3539.105649,-24.3,999.0,-19.4,-20.5
3549.144127,-24.2,999.0,-19.5,-20.4
3559.159459,-24.1,999.0,-19.4,-20.4
3569.209783,-24.1,999.0,-19.4,-20.4
3579.24578,-24.0,999.0,-19.3,-20.4
3589.250296,-24.0,999.0,-19.3,-20.4
3599.285936,-24.0,999.0,-19.2,-20.3
3609.321354,-24.0,999.0,-19.2,-20.3
3619.356658,-24.0,999.0,-19.2,-20.3
3629.361069,-24.0,999.0,-19.1,-20.3
3639.39752,-23.9,999.0,-19.1,-20.3
3649.416135,-23.9,999.0,-19.1,-20.2
3659.420149,-23.9,999.0,-19.1,-20.1
3669.47069,-23.8,999.0,-18.9,-20.1
3679.473955,-23.8,999.0,-19.0,-20.1
3689.492377,-23.7,999.0,-18.9,-20.1
3699.499927,-23.7,999.0,-18.9,-20.1
3709.534113,-23.7,999.0,-18.8,-19.9
3719.568571,-23.6,999.0,-18.8,-20.1
3729.605425,-23.6,999.0,-18.9,-20.0
3739.639583,-23.6,999.0,-18.8,-20.0
3749.643203,-23.6,999.0,-18.8,-19.9
3759.679534,-23.5,999.0,-18.7,-19.9
3769.683988,-23.5,999.0,-18.7,-19.9
3779.70351,-23.4,999.0,-18.6,-19.8
3789.724005,-23.4,999.0,-18.5,-19.8
3799.746369,-23.4,999.0,-18.5,-19.8
3809.791328,-23.3,999.0,-18.5,-19.8
3819.814424,-23.3,999.0,-18.5,-19.7
3829.84733,-23.3,999.0,-18.5,-19.7
3839.882567,-23.2,999.0,-18.4,-19.6
3849.889267,-23.2,999.0,-18.5,-19.6
3859.922947,-23.2,999.0,-18.3,-19.7
3869.926931,-23.1,999.0,-18.3,-19.6
3879.963728,-23.0,999.0,-18.2,-19.6
3889.967453,-23.0,999.0,-18.3,-19.5
3899.99306,-23.0,999.0,-18.1,-19.5
3910.008991,-22.9,999.0,-18.2,-19.5
3920.04026,-22.7,999.0,-18.2,-19.5
3930.075911,-22.6,999.0,-18.1,-19.5
3940.119643,-22.9,999.0,-18.1,-19.4
3950.161789,-22.8,999.0,-18.1,-19.4
3960.197657,-22.6,999.0,-18.1,-19.3
3970.202174,-22.6,999.0,-18.0,-19.3
3980.237518,-22.6,999.0,-18.0,-19.3
3990.241318,-22.5,999.0,-18.0,-19.2
4000.276656,-22.4,999.0,-17.9,-19.2
4010.281215,-22.4,999.0,-17.9,-19.2
4020.331451,-22.4,999.0,-17.8,-19.2
4030.336792,-22.4,999.0,-17.8,-19.2
4040.355026,-22.3,999.0,-17.7,-19.1
4050.388993,-22.2,999.0,-17.8,-19.2
4060.409992,-22.3,999.0,-17.7,-19.1
4070.446542,-22.2,999.0,-17.7,-19.1
4080.448776,-22.2,999.0,-17.6,-19.0
4090.469095,-22.1,999.0,-17.7,-19.0
4100.489514,-22.1,999.0,-17.6,-19.0
4110.492772,-22.1,999.0,-17.5,-18.9
4120.529039,-22.0,999.0,-17.6,-18.9
4130.531116,-22.0,999.0,-17.5,-18.9
4140.56715,-22.0,999.0,-17.3,-18.9
4150.571363,-22.0,999.0,-17.5,-18.9
4160.605936,-21.9,999.0,-17.2,-18.9
4170.6366,-21.9,999.0,-17.4,-18.8
4180.661671,-21.8,999.0,-17.1,-18.8
4190.696811,-21.8,999.0,-17.1,-18.7
4200.700743,-21.7,999.0,-17.4,-18.6
4210.737757,-21.7,999.0,-17.0,-18.7
4220.74153,-21.7,999.0,-17.1,-18.7
4230.776403,-21.7,999.0,-17.0,-18.6
4240.796503,-21.6,999.0,-17.0,-18.6
4250.814903,-21.6,999.0,-16.9,-18.6
4260.861846,-21.5,999.0,-16.9,-18.6
4270.871331,-21.5,999.0,-16.8,-18.6
4280.904815,-21.5,999.0,-16.9,-18.5
4290.921601,-21.5,999.0,-16.8,-18.5
4300.947549,-21.4,999.0,-16.8,-18.5
4310.965044,-21.3,999.0,-16.7,-18.5
4320.980073,-21.3,999.0,-16.8,-18.3
4331.022307,-21.3,999.0,-16.6,-18.4
4341.024323,-21.3,999.0,-16.7,-18.3
4351.07438,-21.2,999.0,-16.6,-18.3
4361.079724,-21.2,999.0,-16.5,-18.3
4371.129863,-21.2,999.0,-16.7,-18.3
4381.161422,-21.1,999.0,-16.5,-18.2
4391.186816,-21.0,999.0,-16.4,-18.2
4401.220174,-21.1,999.0,-16.5,-18.2
4411.266437,-21.0,999.0,-16.3,-18.1
4421.308841,-21.0,999.0,-16.4,-18.1
4431.341593,-20.9,999.0,-16.3,-18.1
4441.342107,-20.9,999.0,-16.3,-18.1
4451.383532,-20.9,999.0,-16.2,-18.0
4461.387518,-20.8,999.0,-16.2,-18.0
4471.41471,-20.8,999.0,-16.2,-18.0
4481.441872,-20.8,999.0,-16.2,-18.0
4491.459817,-20.7,999.0,-16.1,-17.9
4501.495888,-20.7,999.0,-16.1,-17.7
4511.519947,-20.6,999.0,-16.1,-18.0
4521.550138,-20.6,999.0,-16.2,-17.9
4531.569726,-20.6,999.0,-16.0,-17.6
4541.6074,-20.6,999.0,-16.0,-17.6
4551.640916,-20.5,999.0,-15.9,-17.5
4561.644668,-20.5,999.0,-15.9,-17.7
4571.679414,-20.5,999.0,-15.9,-17.4
4581.699718,-20.4,999.0,-15.9,-17.5
4591.735395,-20.4,999.0,-15.8,-17.5
4601.754427,-20.3,999.0,-15.8,-17.4
4611.773338,-20.3,999.0,-15.7,-17.4
4621.809355,-20.3,999.0,-15.7,-17.4
4631.814737,-20.2,999.0,-15.7,-17.4
4641.84805,-20.2,999.0,-15.7,-17.4
4651.867927,-20.2,999.0,-15.6,-17.3
4661.886953,-20.2,999.0,-15.6,-17.2
4671.90778,-20.2,999.0,-15.6,-17.2
4681.911814,-20.1,999.0,-15.5,-17.2
4691.947083,-20.0,999.0,-15.5,-17.2
4701.951176,-20.0,999.0,-15.4,-17.1
4711.991358,-20.0,999.0,-15.4,-17.1
4722.020127,-19.9,999.0,-15.4,-17.1
4732.02462,-19.9,999.0,-15.4,-17.1
4742.06014,-19.9,999.0,-15.4,-17.0
4752.065292,-19.8,999.0,-15.3,-17.1
4762.100785,-19.8,999.0,-15.2,-17.0
4772.126031,-19.7,999.0,-15.2,-17.0
4782.155359,-19.7,999.0,-15.2,-17.0
4792.175344,-19.7,999.0,-15.2,-16.9
4802.195077,-19.7,999.0,-15.1,-16.8
4812.21497,-19.7,999.0,-15.1,-16.9
4822.228442,-19.5,999.0,-15.1,-16.8
4832.252837,-19.5,999.0,-15.0,-16.8
4842.256161,-19.5,999.0,-15.0,-16.8
4852.292726,-19.4,999.0,-15.0,-16.8
4862.296418,-19.5,999.0,-15.0,-16.8
4872.331167,-19.4,999.0,-14.9,-16.7
4882.368237,-19.4,999.0,-14.9,-16.7
4892.396964,-19.4,999.0,-14.9,-16.7
4902.423104,-19.4,999.0,-14.8,-16.6
4912.426756,-19.3,999.0,-14.8,-16.6
4922.47939,-19.2,999.0,-14.7,-16.6
4932.481873,-19.3,999.0,-14.8,-16.5
4942.525803,-19.2,999.0,-14.6,-16.5
4952.552502,-19.2,999.0,-14.6,-16.5
4962.556092,-19.1,999.0,-14.6,-16.5
4972.590689,-19.1,999.0,-14.6,-16.5
4982.595268,-19.1,999.0,-14.6,-16.4
4992.631216,-19.1,999.0,-14.5,-16.4
5002.650646,-19.0,999.0,-14.5,-16.4
5012.654868,-18.9,999.0,-14.5,-16.4
5022.674333,-18.9,999.0,-14.5,-16.3
5032.678452,-18.9,999.0,-14.4,-16.3
5042.719323,-18.9,999.0,-14.4,-16.3
5052.762803,-18.8,999.0,-14.3,-16.2
5062.800585,-18.8,999.0,-14.3,-16.2
5072.830935,-18.7,999.0,-14.4,-16.2
5082.877893,-18.5,999.0,-14.2,-16.2
5092.905175,-18.7,999.0,-14.2,-16.2
5102.925071,-18.7,999.0,-14.2,-16.1
5112.966324,-18.4,999.0,-14.1,-16.1
5122.969195,-18.4,999.0,-14.1,-16.2
5133.031575,-18.4,999.0,-14.1,-16.0
5143.06701,-18.4,999.0,-14.0,-16.0
5153.070402,-18.3,999.0,-14.1,-16.0
5163.107056,-18.3,999.0,-14.0,-16.0
5173.110289,-18.2,999.0,-14.0,-16.0
5183.15145,-18.2,999.0,-13.9,-16.0
5193.179168,-18.2,999.0,-13.9,-15.9
5203.202696,-18.2,999.0,-13.8,-15.9
5213.23606,-18.1,999.0,-13.8,-15.8
5223.240618,-18.1,999.0,-13.8,-15.9
5233.276365,-18.0,999.0,-13.8,-15.8
5243.279926,-18.0,999.0,-13.7,-15.8
5253.314333,-17.9,999.0,-13.7,-15.7
5263.35002,-18.0,999.0,-13.7,-15.7
5273.353943,-17.9,999.0,-13.7,-15.6
5283.389223,-17.9,999.0,-13.6,-15.7
5293.408476,-17.9,999.0,-13.7,-15.7
5303.443709,-17.8,999.0,-13.5,-15.7
5313.462467,-17.8,999.0,-13.5,-15.6
5323.464459,-17.8,999.0,-13.5,-15.6
5333.50359,-17.7,999.0,-13.4,-15.6
5343.506946,-17.7,999.0,-13.4,-15.5
5353.53811,-17.6,999.0,-13.4,-15.5
5363.546737,-17.6,999.0,-13.4,-15.5
5373.580815,-17.6,999.0,-13.3,-15.4
5383.586444,-17.6,999.0,-13.2,-15.4
5393.62138,-17.6,999.0,-13.2,-15.4
5403.641988,-17.5,999.0,-13.0,-15.4
5413.670916,-17.5,999.0,-13.2,-15.3
5423.695726,-17.4,999.0,-13.2,-15.4
5433.698908,-17.4,999.0,-12.9,-15.3
5443.746319,-17.3,999.0,-12.9,-15.3
5453.770802,-17.3,999.0,-12.8,-15.3
5463.789959,-17.3,999.0,-12.8,-15.2
5473.827538,-17.3,999.0,-12.8,-15.2
5483.861255,-17.3,999.0,-12.7,-15.1
5493.895973,-17.3,999.0,-12.7,-15.1
5503.90084,-17.2,999.0,-12.6,-15.1
5513.935337,-17.2,999.0,-12.7,-15.1
5523.955398,-17.2,999.0,-12.7,-15.0
5533.974039,-17.0,999.0,-12.6,-15.1
5544.071281,-17.1,999.0,-12.6,-15.0
5554.121863,-17.0,999.0,-12.5,-15.0
5564.150664,-17.0,999.0,-12.5,-14.9
5574.177592,-17.0,999.0,-12.4,-14.8
5584.181896,-17.0,999.0,-12.5,-14.9
5594.217594,-17.0,999.0,-12.4,-14.8
5604.220978,-16.9,999.0,-12.4,-14.8
